frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location, scene number 
"11.76017","-0.032","1.508","-3.788","0.014","-0.053","0.999","0.033","1.509","-3.789","0.014","-0.053","0.999","False","no object","(0, 0, 0)","0"
"11.77098","-0.032","1.509","-3.788","0.014","-0.05","0.999","0.033","1.509","-3.789","0.014","-0.05","0.999","False","no object","(0, 0, 0)","0"
"11.78338","-0.032","1.509","-3.788","0.014","-0.048","0.999","0.033","1.509","-3.789","0.014","-0.048","0.999","False","no object","(0, 0, 0)","0"
"11.79761","-0.032","1.509","-3.789","0.013","-0.046","0.999","0.033","1.509","-3.79","0.013","-0.046","0.999","False","no object","(0, 0, 0)","0"
"11.81334","-0.032","1.509","-3.789","0.013","-0.045","0.999","0.033","1.509","-3.79","0.013","-0.045","0.999","False","no object","(0, 0, 0)","0"
"11.82616","-0.032","1.509","-3.789","0.013","-0.044","0.999","0.033","1.51","-3.79","0.013","-0.044","0.999","False","no object","(0, 0, 0)","0"
"11.84259","-0.032","1.509","-3.789","0.013","-0.043","0.999","0.033","1.51","-3.79","0.013","-0.043","0.999","False","no object","(0, 0, 0)","0"
"11.85752","-0.032","1.51","-3.789","0.012","-0.042","0.999","0.033","1.51","-3.79","0.012","-0.042","0.999","False","no object","(0, 0, 0)","0"
"11.86934","-0.032","1.51","-3.79","0.011","-0.041","0.999","0.033","1.51","-3.79","0.011","-0.041","0.999","False","no object","(0, 0, 0)","0"
"11.88365","-0.031","1.51","-3.79","0.011","-0.04","0.999","0.034","1.51","-3.79","0.011","-0.04","0.999","False","no object","(0, 0, 0)","0"
"11.89756","-0.031","1.51","-3.79","0.012","-0.039","0.999","0.034","1.51","-3.791","0.012","-0.039","0.999","False","no object","(0, 0, 0)","0"
"11.91187","-0.031","1.51","-3.79","0.013","-0.038","0.999","0.034","1.51","-3.791","0.013","-0.038","0.999","False","no object","(0, 0, 0)","0"
"11.92619","-0.031","1.51","-3.79","0.014","-0.036","0.999","0.034","1.51","-3.791","0.014","-0.036","0.999","False","no object","(0, 0, 0)","0"
"11.9405","-0.03","1.511","-3.79","0.015","-0.035","0.999","0.035","1.51","-3.791","0.015","-0.035","0.999","False","no object","(0, 0, 0)","0"
"11.95596","-0.03","1.511","-3.791","0.016","-0.033","0.999","0.035","1.51","-3.792","0.016","-0.033","0.999","False","no object","(0, 0, 0)","0"
"11.96957","-0.03","1.511","-3.791","0.018","-0.031","0.999","0.035","1.511","-3.792","0.018","-0.031","0.999","False","no object","(0, 0, 0)","0"
"11.98353","-0.03","1.511","-3.791","0.02","-0.029","0.999","0.035","1.511","-3.792","0.02","-0.029","0.999","False","no object","(0, 0, 0)","0"
"11.99794","-0.03","1.511","-3.791","0.022","-0.028","0.999","0.035","1.511","-3.793","0.022","-0.028","0.999","False","no object","(0, 0, 0)","0"
"12.01202","-0.029","1.511","-3.791","0.025","-0.027","0.999","0.036","1.511","-3.793","0.025","-0.027","0.999","False","no object","(0, 0, 0)","0"
"12.02649","-0.029","1.511","-3.791","0.027","-0.026","0.999","0.036","1.511","-3.793","0.027","-0.026","0.999","False","no object","(0, 0, 0)","0"
"12.04055","-0.03","1.511","-3.791","0.029","-0.027","0.999","0.035","1.511","-3.793","0.029","-0.027","0.999","False","no object","(0, 0, 0)","0"
"12.05531","-0.03","1.511","-3.791","0.03","-0.028","0.999","0.035","1.511","-3.793","0.03","-0.028","0.999","False","no object","(0, 0, 0)","0"
"12.07169","-0.03","1.511","-3.791","0.031","-0.029","0.999","0.035","1.511","-3.793","0.031","-0.029","0.999","False","no object","(0, 0, 0)","0"
"12.08339","-0.03","1.511","-3.79","0.031","-0.032","0.999","0.035","1.511","-3.792","0.031","-0.032","0.999","False","no object","(0, 0, 0)","0"
"12.09789","-0.03","1.51","-3.79","0.032","-0.035","0.999","0.035","1.511","-3.792","0.032","-0.035","0.999","False","no object","(0, 0, 0)","0"
