frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location 
"23.62507","-0.34","1.707","-3.722","0.199","-0.181","0.963","-0.275","1.708","-3.717","0.212","-0.134","0.968","True","Green Cube","(0.183, 1.137, -1.41)"
"23.63931","-0.34","1.707","-3.721","0.201","-0.179","0.963","-0.275","1.709","-3.717","0.214","-0.133","0.968","True","Green Cube","(0.183, 1.137, -1.41)"
"23.65337","-0.34","1.707","-3.721","0.204","-0.178","0.963","-0.275","1.709","-3.717","0.216","-0.133","0.967","True","Green Cube","(0.183, 1.137, -1.41)"
"23.66782","-0.34","1.707","-3.721","0.207","-0.176","0.962","-0.275","1.709","-3.717","0.218","-0.133","0.967","True","Green Cube","(0.183, 1.137, -1.41)"
"23.68112","-0.339","1.707","-3.72","0.21","-0.175","0.962","-0.275","1.709","-3.717","0.219","-0.133","0.967","True","Green Cube","(0.183, 1.137, -1.41)"
"23.69662","-0.339","1.707","-3.72","0.212","-0.174","0.962","-0.274","1.709","-3.717","0.22","-0.134","0.966","True","Green Cube","(0.183, 1.137, -1.41)"
"23.71091","-0.339","1.707","-3.72","0.215","-0.174","0.961","-0.274","1.709","-3.717","0.221","-0.134","0.966","True","Green Cube","(0.183, 1.137, -1.41)"
"23.7247","-0.339","1.707","-3.72","0.218","-0.174","0.96","-0.274","1.709","-3.717","0.221","-0.135","0.966","True","Green Cube","(0.183, 1.137, -1.41)"
"23.73829","-0.339","1.707","-3.72","0.219","-0.174","0.96","-0.274","1.709","-3.717","0.219","-0.137","0.966","True","Green Cube","(0.183, 1.137, -1.41)"
"23.75289","-0.339","1.707","-3.72","0.219","-0.174","0.96","-0.274","1.709","-3.717","0.217","-0.135","0.967","True","Green Cube","(0.183, 1.137, -1.41)"
"23.76773","-0.338","1.707","-3.719","0.216","-0.175","0.961","-0.274","1.709","-3.717","0.215","-0.135","0.967","True","Green Cube","(0.183, 1.137, -1.41)"
"23.78155","-0.338","1.707","-3.719","0.213","-0.176","0.961","-0.273","1.709","-3.717","0.214","-0.134","0.968","True","Green Cube","(0.183, 1.137, -1.41)"
"23.79617","-0.338","1.707","-3.719","0.211","-0.177","0.961","-0.273","1.709","-3.717","0.211","-0.136","0.968","True","Green Cube","(0.183, 1.137, -1.41)"
"23.80995","-0.338","1.707","-3.719","0.207","-0.178","0.962","-0.273","1.709","-3.718","0.21","-0.138","0.968","True","Green Cube","(0.183, 1.137, -1.41)"
"23.8241","-0.338","1.707","-3.719","0.208","-0.179","0.962","-0.273","1.708","-3.718","0.208","-0.138","0.968","True","Green Cube","(0.183, 1.137, -1.41)"
"23.83838","-0.337","1.707","-3.719","0.205","-0.181","0.962","-0.272","1.708","-3.718","0.207","-0.136","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"23.85383","-0.337","1.707","-3.719","0.204","-0.181","0.962","-0.272","1.708","-3.718","0.208","-0.137","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"23.86706","-0.337","1.707","-3.718","0.203","-0.181","0.962","-0.272","1.708","-3.717","0.206","-0.137","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"23.88145","-0.337","1.707","-3.718","0.201","-0.182","0.963","-0.272","1.708","-3.717","0.205","-0.137","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"23.8963","-0.337","1.707","-3.718","0.2","-0.182","0.963","-0.272","1.708","-3.717","0.203","-0.137","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"23.91034","-0.337","1.707","-3.718","0.199","-0.181","0.963","-0.272","1.708","-3.716","0.201","-0.137","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"23.92417","-0.337","1.707","-3.717","0.198","-0.181","0.963","-0.272","1.708","-3.716","0.2","-0.138","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"23.93864","-0.337","1.707","-3.717","0.197","-0.18","0.964","-0.272","1.708","-3.716","0.199","-0.138","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"23.95342","-0.337","1.707","-3.717","0.196","-0.18","0.964","-0.272","1.708","-3.716","0.199","-0.138","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"23.96773","-0.337","1.707","-3.717","0.196","-0.178","0.964","-0.272","1.708","-3.715","0.199","-0.138","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"23.9815","-0.337","1.707","-3.717","0.196","-0.178","0.964","-0.272","1.708","-3.715","0.198","-0.138","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"23.99667","-0.337","1.707","-3.717","0.197","-0.177","0.964","-0.272","1.708","-3.715","0.199","-0.137","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"24.01015","-0.337","1.707","-3.716","0.199","-0.177","0.964","-0.272","1.708","-3.715","0.2","-0.138","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"24.02465","-0.337","1.707","-3.716","0.2","-0.176","0.964","-0.272","1.708","-3.715","0.202","-0.139","0.97","True","Green Cube","(0.183, 1.137, -1.41)"
"24.0391","-0.337","1.707","-3.716","0.201","-0.175","0.964","-0.272","1.708","-3.715","0.203","-0.139","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.05278","-0.337","1.707","-3.716","0.202","-0.175","0.964","-0.272","1.708","-3.715","0.203","-0.139","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.06691","-0.337","1.707","-3.717","0.203","-0.176","0.963","-0.272","1.708","-3.715","0.203","-0.14","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.08112","-0.337","1.707","-3.717","0.203","-0.176","0.963","-0.272","1.708","-3.715","0.204","-0.139","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.09605","-0.337","1.707","-3.717","0.203","-0.176","0.963","-0.272","1.708","-3.715","0.204","-0.139","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.10964","-0.337","1.707","-3.716","0.204","-0.176","0.963","-0.272","1.708","-3.715","0.205","-0.138","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.12434","-0.337","1.707","-3.716","0.203","-0.176","0.963","-0.272","1.708","-3.714","0.204","-0.138","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.13844","-0.337","1.707","-3.716","0.204","-0.175","0.963","-0.272","1.708","-3.714","0.205","-0.137","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.15284","-0.337","1.707","-3.716","0.204","-0.175","0.963","-0.272","1.708","-3.714","0.205","-0.137","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.16701","-0.337","1.707","-3.716","0.206","-0.174","0.963","-0.272","1.708","-3.714","0.208","-0.136","0.969","True","Green Cube","(0.183, 1.137, -1.41)"
"24.1813","-0.337","1.707","-3.716","0.296","-0.16","0.942","-0.272","1.708","-3.714","0.301","-0.12","0.946","False","no object","(0, 0, 0)"
"24.19624","-0.337","1.707","-3.717","0.371","-0.143","0.918","-0.272","1.708","-3.714","0.382","-0.093","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.20973","-0.336","1.707","-3.717","0.375","-0.142","0.916","-0.271","1.708","-3.715","0.392","-0.085","0.916","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.22418","-0.336","1.707","-3.717","0.378","-0.142","0.915","-0.271","1.708","-3.715","0.396","-0.084","0.915","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.23902","-0.336","1.707","-3.717","0.383","-0.143","0.913","-0.271","1.708","-3.715","0.401","-0.081","0.913","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.25284","-0.336","1.707","-3.717","0.387","-0.144","0.911","-0.271","1.708","-3.715","0.404","-0.08","0.911","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.26707","-0.336","1.707","-3.717","0.39","-0.139","0.91","-0.271","1.708","-3.715","0.412","-0.069","0.909","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.28135","-0.336","1.707","-3.718","0.39","-0.137","0.91","-0.271","1.708","-3.716","0.408","-0.061","0.911","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.29635","-0.336","1.707","-3.718","0.388","-0.136","0.912","-0.271","1.708","-3.716","0.389","-0.067","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.30971","-0.336","1.707","-3.718","0.373","-0.135","0.918","-0.271","1.708","-3.716","0.388","-0.067","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.32408","-0.336","1.707","-3.718","0.364","-0.136","0.921","-0.271","1.708","-3.716","0.387","-0.068","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.33825","-0.336","1.707","-3.718","0.363","-0.134","0.922","-0.271","1.708","-3.716","0.387","-0.069","0.92","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.35262","-0.336","1.707","-3.718","0.362","-0.133","0.923","-0.271","1.708","-3.716","0.386","-0.07","0.92","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.36866","-0.336","1.707","-3.718","0.362","-0.132","0.923","-0.271","1.708","-3.716","0.386","-0.072","0.92","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.38108","-0.336","1.707","-3.718","0.362","-0.133","0.923","-0.271","1.708","-3.716","0.386","-0.073","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.39614","-0.336","1.707","-3.718","0.362","-0.133","0.923","-0.271","1.708","-3.716","0.387","-0.073","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.41008","-0.336","1.707","-3.718","0.363","-0.133","0.922","-0.271","1.708","-3.716","0.387","-0.074","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.42414","-0.336","1.707","-3.717","0.365","-0.133","0.922","-0.271","1.708","-3.715","0.388","-0.074","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.43914","-0.336","1.707","-3.717","0.366","-0.133","0.921","-0.271","1.708","-3.715","0.388","-0.074","0.919","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.45307","-0.336","1.707","-3.717","0.367","-0.134","0.921","-0.271","1.708","-3.715","0.389","-0.073","0.918","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.46778","-0.336","1.707","-3.717","0.368","-0.133","0.92","-0.271","1.709","-3.715","0.39","-0.072","0.918","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.48188","-0.336","1.707","-3.717","0.369","-0.132","0.92","-0.271","1.709","-3.715","0.39","-0.072","0.918","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.49662","-0.336","1.707","-3.717","0.369","-0.131","0.92","-0.271","1.709","-3.715","0.391","-0.071","0.918","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.51024","-0.336","1.707","-3.717","0.37","-0.131","0.92","-0.271","1.709","-3.715","0.391","-0.071","0.918","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.5245","-0.336","1.707","-3.718","0.37","-0.132","0.92","-0.271","1.709","-3.716","0.391","-0.072","0.918","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.53904","-0.336","1.707","-3.718","0.369","-0.135","0.919","-0.271","1.709","-3.716","0.39","-0.075","0.918","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.55328","-0.336","1.708","-3.719","0.37","-0.138","0.919","-0.271","1.709","-3.717","0.391","-0.078","0.917","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.56749","-0.336","1.708","-3.719","0.37","-0.137","0.919","-0.271","1.709","-3.717","0.391","-0.078","0.917","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.58121","-0.336","1.708","-3.719","0.373","-0.136","0.918","-0.271","1.71","-3.717","0.394","-0.077","0.916","True","Pink Capsule","(0.836, 1.269, -0.913)"
"24.59606","-0.336","1.708","-3.718","0.425","-0.143","0.894","-0.271","1.709","-3.716","0.44","-0.078","0.895","False","no object","(0, 0, 0)"
"24.6098","-0.336","1.708","-3.718","0.49","-0.159","0.857","-0.271","1.709","-3.716","0.52","-0.078","0.85","False","no object","(0, 0, 0)"
"24.62409","-0.336","1.708","-3.717","0.492","-0.163","0.855","-0.271","1.709","-3.716","0.522","-0.077","0.85","False","no object","(0, 0, 0)"
"24.63867","-0.336","1.708","-3.716","0.492","-0.167","0.854","-0.271","1.709","-3.715","0.523","-0.076","0.849","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.65277","-0.336","1.707","-3.716","0.493","-0.168","0.854","-0.271","1.709","-3.715","0.524","-0.076","0.848","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.66698","-0.336","1.707","-3.715","0.494","-0.169","0.853","-0.271","1.709","-3.714","0.526","-0.076","0.847","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.68153","-0.337","1.707","-3.713","0.494","-0.171","0.852","-0.272","1.708","-3.712","0.527","-0.077","0.846","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.69688","-0.336","1.707","-3.714","0.495","-0.172","0.852","-0.272","1.708","-3.712","0.529","-0.077","0.845","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.71119","-0.336","1.707","-3.714","0.494","-0.172","0.852","-0.271","1.709","-3.713","0.529","-0.077","0.845","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.72467","-0.336","1.707","-3.714","0.494","-0.17","0.853","-0.271","1.709","-3.713","0.53","-0.077","0.845","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.73906","-0.336","1.707","-3.715","0.495","-0.168","0.853","-0.271","1.708","-3.714","0.53","-0.078","0.844","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.75335","-0.336","1.707","-3.715","0.495","-0.165","0.853","-0.271","1.709","-3.714","0.531","-0.077","0.844","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.76857","-0.336","1.707","-3.715","0.495","-0.161","0.854","-0.271","1.709","-3.714","0.531","-0.076","0.844","False","no object","(0, 0, 0)"
"24.78233","-0.336","1.707","-3.715","0.495","-0.161","0.854","-0.271","1.709","-3.714","0.532","-0.076","0.843","False","no object","(0, 0, 0)"
"24.79683","-0.336","1.707","-3.714","0.495","-0.161","0.854","-0.271","1.709","-3.713","0.532","-0.077","0.843","False","no object","(0, 0, 0)"
"24.81041","-0.336","1.707","-3.714","0.496","-0.16","0.854","-0.271","1.709","-3.713","0.533","-0.077","0.843","False","no object","(0, 0, 0)"
"24.8246","-0.336","1.707","-3.713","0.497","-0.159","0.853","-0.271","1.708","-3.713","0.535","-0.078","0.841","False","no object","(0, 0, 0)"
"24.83849","-0.336","1.707","-3.713","0.498","-0.161","0.852","-0.271","1.708","-3.712","0.536","-0.08","0.84","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.85341","-0.336","1.707","-3.712","0.499","-0.161","0.851","-0.271","1.708","-3.712","0.537","-0.082","0.839","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.86745","-0.336","1.707","-3.71","0.501","-0.163","0.85","-0.271","1.708","-3.71","0.539","-0.083","0.838","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.88231","-0.336","1.707","-3.709","0.501","-0.167","0.849","-0.271","1.708","-3.709","0.54","-0.086","0.837","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.89594","-0.336","1.706","-3.708","0.502","-0.167","0.848","-0.271","1.708","-3.708","0.541","-0.088","0.836","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.90969","-0.336","1.706","-3.708","0.503","-0.169","0.848","-0.271","1.708","-3.708","0.541","-0.089","0.836","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.92431","-0.336","1.707","-3.709","0.504","-0.169","0.847","-0.271","1.708","-3.709","0.542","-0.09","0.835","True","Cyan Cylander","(1.087, 1.16, -1.47)"
