frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location, scene number 
"14.94583","-0.112","1.701","-3.468","0.164","-0.17","0.972","-0.048","1.7","-3.474","0.118","-0.179","0.977","True","Black Sphere","(0.18, 1.142, -0.71)","2"
"14.96005","-0.112","1.701","-3.468","0.132","-0.196","0.972","-0.047","1.7","-3.474","0.08","-0.208","0.975","True","Green Cube","(0.183, 1.137, -1.41)","2"
"14.97379","-0.112","1.701","-3.468","0.129","-0.196","0.972","-0.047","1.7","-3.474","0.077","-0.21","0.975","True","Green Cube","(0.183, 1.137, -1.41)","2"
"14.98856","-0.112","1.702","-3.468","0.124","-0.199","0.972","-0.047","1.7","-3.474","0.075","-0.214","0.974","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.00284","-0.112","1.702","-3.468","0.12","-0.2","0.972","-0.047","1.7","-3.474","0.074","-0.215","0.974","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.01835","-0.112","1.702","-3.468","0.119","-0.201","0.972","-0.047","1.7","-3.474","0.076","-0.214","0.974","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.03167","-0.111","1.702","-3.468","0.118","-0.2","0.973","-0.047","1.7","-3.473","0.08","-0.212","0.974","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.04589","-0.111","1.702","-3.468","0.117","-0.2","0.973","-0.047","1.701","-3.473","0.087","-0.203","0.975","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.05979","-0.111","1.702","-3.468","0.116","-0.199","0.973","-0.047","1.701","-3.473","0.09","-0.2","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.0765","-0.111","1.702","-3.468","0.116","-0.198","0.973","-0.046","1.701","-3.473","0.093","-0.196","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.0889","-0.111","1.702","-3.468","0.118","-0.195","0.974","-0.046","1.701","-3.473","0.094","-0.196","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.10295","-0.111","1.702","-3.468","0.121","-0.191","0.974","-0.046","1.701","-3.473","0.096","-0.194","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.11758","-0.111","1.702","-3.468","0.122","-0.191","0.974","-0.046","1.7","-3.473","0.097","-0.194","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.1323","-0.111","1.702","-3.469","0.125","-0.188","0.974","-0.046","1.7","-3.473","0.096","-0.195","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.1456","-0.111","1.702","-3.469","0.127","-0.186","0.974","-0.046","1.7","-3.474","0.098","-0.195","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.16028","-0.111","1.702","-3.47","0.129","-0.186","0.974","-0.046","1.7","-3.474","0.098","-0.195","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.17438","-0.111","1.702","-3.47","0.13","-0.184","0.974","-0.047","1.7","-3.474","0.1","-0.195","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
"15.1886","-0.111","1.702","-3.47","0.132","-0.183","0.974","-0.047","1.7","-3.474","0.102","-0.194","0.976","True","Green Cube","(0.183, 1.137, -1.41)","2"
