frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location, scene number 
"16.63267","-0.057","1.496","-3.783","-0.111","-0.133","0.985","0.008","1.501","-3.775","-0.111","-0.133","0.985","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.64734","-0.057","1.497","-3.783","-0.111","-0.131","0.985","0.008","1.502","-3.775","-0.111","-0.131","0.985","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.66145","-0.057","1.497","-3.784","-0.112","-0.128","0.985","0.008","1.502","-3.776","-0.112","-0.128","0.985","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.67485","-0.057","1.497","-3.784","-0.112","-0.125","0.986","0.008","1.502","-3.776","-0.112","-0.125","0.986","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.68933","-0.056","1.498","-3.784","-0.112","-0.123","0.986","0.008","1.503","-3.776","-0.112","-0.123","0.986","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.70341","-0.056","1.498","-3.785","-0.112","-0.121","0.986","0.008","1.503","-3.777","-0.112","-0.121","0.986","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.71749","-0.055","1.499","-3.785","-0.11","-0.118","0.987","0.009","1.503","-3.777","-0.11","-0.118","0.987","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.73489","-0.055","1.499","-3.785","-0.108","-0.116","0.987","0.01","1.503","-3.777","-0.108","-0.116","0.987","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.74699","-0.054","1.499","-3.785","-0.106","-0.113","0.988","0.01","1.504","-3.778","-0.106","-0.113","0.988","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.76144","-0.053","1.5","-3.785","-0.102","-0.109","0.989","0.011","1.504","-3.778","-0.102","-0.109","0.989","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
"16.77503","-0.053","1.501","-3.786","-0.098","-0.105","0.99","0.012","1.504","-3.779","-0.098","-0.105","0.99","True","Purple Cube","(-0.31, 1.137, -1.17)","1"
