frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location, scene number 
"21.09802","0.024","1.674","-3.522","0.111","0.034","0.993","0.089","1.672","-3.522","0.123","0.083","0.989","False","no object","(0, 0, 0)","0"
"21.11362","0.025","1.674","-3.522","0.112","0.035","0.993","0.089","1.672","-3.523","0.123","0.084","0.989","False","no object","(0, 0, 0)","0"
"21.12543","0.025","1.674","-3.522","0.114","0.037","0.993","0.09","1.672","-3.523","0.124","0.086","0.989","False","no object","(0, 0, 0)","0"
"21.13699","0.025","1.674","-3.522","0.114","0.038","0.993","0.09","1.672","-3.523","0.124","0.087","0.989","False","no object","(0, 0, 0)","0"
"21.15067","0.025","1.674","-3.522","0.115","0.038","0.993","0.09","1.672","-3.523","0.124","0.088","0.988","False","no object","(0, 0, 0)","0"
"21.1634","0.025","1.674","-3.523","0.116","0.038","0.993","0.09","1.672","-3.523","0.124","0.088","0.988","False","no object","(0, 0, 0)","0"
"21.17747","0.025","1.674","-3.523","0.115","0.037","0.993","0.09","1.672","-3.524","0.123","0.088","0.988","False","no object","(0, 0, 0)","0"
"21.19204","0.025","1.674","-3.524","0.115","0.038","0.993","0.09","1.672","-3.524","0.123","0.088","0.989","False","no object","(0, 0, 0)","0"
"21.20808","0.025","1.674","-3.524","0.106","0.035","0.994","0.09","1.672","-3.525","0.108","0.083","0.991","False","no object","(0, 0, 0)","0"
"21.22373","0.025","1.674","-3.524","0.078","0.026","0.997","0.09","1.672","-3.525","0.067","0.063","0.996","False","no object","(0, 0, 0)","0"
"21.23546","0.025","1.674","-3.525","-0.06","-0.006","0.998","0.09","1.672","-3.525","-0.026","0.02","0.999","False","no object","(0, 0, 0)","0"
"21.25054","0.025","1.674","-3.525","-0.081","-0.004","0.997","0.09","1.672","-3.525","-0.042","0.014","0.999","False","no object","(0, 0, 0)","0"
"21.26378","0.025","1.674","-3.524","-0.119","-0.012","0.993","0.09","1.672","-3.525","-0.06","0.001","0.998","False","no object","(0, 0, 0)","0"
"21.27813","0.025","1.674","-3.524","-0.126","-0.026","0.992","0.09","1.672","-3.524","-0.06","-0.01","0.998","False","no object","(0, 0, 0)","0"
"21.29234","0.024","1.674","-3.523","-0.089","-0.066","0.994","0.089","1.671","-3.524","-0.032","-0.023","0.999","False","no object","(0, 0, 0)","0"
"21.3074","0.025","1.674","-3.524","-0.043","-0.085","0.995","0.09","1.671","-3.524","-0.003","-0.035","0.999","False","no object","(0, 0, 0)","0"
"21.32173","0.025","1.674","-3.524","-0.029","-0.083","0.996","0.09","1.672","-3.525","0.015","-0.05","0.999","False","no object","(0, 0, 0)","0"
"21.33652","0.026","1.675","-3.524","-0.028","-0.097","0.995","0.091","1.672","-3.525","0.013","-0.053","0.998","False","no object","(0, 0, 0)","0"
"21.35121","0.025","1.674","-3.523","-0.03","-0.096","0.995","0.09","1.672","-3.524","0.01","-0.058","0.998","False","no object","(0, 0, 0)","0"
"21.36392","0.025","1.674","-3.523","-0.032","-0.094","0.995","0.09","1.672","-3.524","0.008","-0.061","0.998","False","no object","(0, 0, 0)","0"
"21.37884","0.025","1.674","-3.523","-0.032","-0.09","0.995","0.09","1.672","-3.524","0.006","-0.059","0.998","False","no object","(0, 0, 0)","0"
"21.39285","0.025","1.674","-3.523","-0.032","-0.084","0.996","0.09","1.672","-3.523","0.006","-0.056","0.998","False","no object","(0, 0, 0)","0"
"21.40782","0.025","1.674","-3.523","-0.03","-0.069","0.997","0.09","1.672","-3.524","0.006","-0.043","0.999","False","no object","(0, 0, 0)","0"
"21.42139","0.025","1.674","-3.523","-0.029","-0.068","0.997","0.09","1.672","-3.524","0.006","-0.033","0.999","False","no object","(0, 0, 0)","0"
"21.43702","0.025","1.674","-3.523","-0.028","-0.066","0.997","0.09","1.671","-3.524","0.003","-0.031","1","False","no object","(0, 0, 0)","0"
"21.45005","0.025","1.674","-3.523","-0.028","-0.064","0.998","0.09","1.671","-3.524","0.002","-0.029","1","False","no object","(0, 0, 0)","0"
"21.46435","0.025","1.674","-3.523","-0.029","-0.064","0.998","0.09","1.671","-3.524","0.001","-0.028","1","False","no object","(0, 0, 0)","0"
"21.47875","0.025","1.674","-3.524","-0.029","-0.064","0.998","0.09","1.671","-3.524","0","-0.027","1","False","no object","(0, 0, 0)","0"
"21.49302","0.025","1.674","-3.524","-0.03","-0.064","0.998","0.09","1.671","-3.524","-0.001","-0.027","1","False","no object","(0, 0, 0)","0"
"21.50693","0.025","1.674","-3.524","-0.03","-0.064","0.997","0.09","1.671","-3.524","-0.002","-0.028","1","False","no object","(0, 0, 0)","0"
"21.52248","0.025","1.674","-3.524","-0.029","-0.065","0.997","0.09","1.671","-3.524","-0.002","-0.029","1","False","no object","(0, 0, 0)","0"
"21.53523","0.025","1.674","-3.524","-0.029","-0.065","0.997","0.09","1.671","-3.525","-0.002","-0.029","1","False","no object","(0, 0, 0)","0"
"21.55035","0.025","1.674","-3.524","-0.029","-0.066","0.997","0.09","1.671","-3.525","-0.003","-0.031","1","False","no object","(0, 0, 0)","0"
"21.56495","0.025","1.674","-3.524","-0.029","-0.068","0.997","0.09","1.671","-3.525","-0.004","-0.032","0.999","False","no object","(0, 0, 0)","0"
"21.57822","0.025","1.674","-3.524","-0.029","-0.069","0.997","0.09","1.671","-3.525","-0.004","-0.033","0.999","False","no object","(0, 0, 0)","0"
"21.59346","0.025","1.674","-3.524","-0.027","-0.069","0.997","0.09","1.671","-3.525","-0.005","-0.033","0.999","False","no object","(0, 0, 0)","0"
"21.60725","0.025","1.674","-3.524","-0.027","-0.069","0.997","0.09","1.671","-3.525","-0.007","-0.033","0.999","False","no object","(0, 0, 0)","0"
"21.62253","0.025","1.674","-3.523","-0.026","-0.067","0.997","0.09","1.671","-3.524","-0.008","-0.032","0.999","False","no object","(0, 0, 0)","0"
"21.63688","0.025","1.673","-3.523","-0.026","-0.064","0.998","0.089","1.671","-3.523","-0.009","-0.031","0.999","False","no object","(0, 0, 0)","0"
"21.65022","0.025","1.674","-3.523","-0.025","-0.063","0.998","0.09","1.671","-3.523","-0.01","-0.029","1","False","no object","(0, 0, 0)","0"
"21.66323","0.025","1.674","-3.523","-0.025","-0.061","0.998","0.09","1.671","-3.524","-0.012","-0.028","1","False","no object","(0, 0, 0)","0"
"21.67735","0.025","1.674","-3.523","-0.025","-0.06","0.998","0.09","1.671","-3.524","-0.012","-0.028","1","False","no object","(0, 0, 0)","0"
"21.69211","0.025","1.674","-3.523","-0.024","-0.06","0.998","0.09","1.671","-3.524","-0.013","-0.029","0.999","False","no object","(0, 0, 0)","0"
"21.70753","0.025","1.674","-3.523","-0.024","-0.061","0.998","0.09","1.671","-3.524","-0.014","-0.029","0.999","False","no object","(0, 0, 0)","0"
"21.7226","0.025","1.673","-3.523","-0.023","-0.061","0.998","0.09","1.671","-3.523","-0.015","-0.03","0.999","False","no object","(0, 0, 0)","0"
"21.73531","0.025","1.673","-3.522","-0.023","-0.059","0.998","0.09","1.671","-3.523","-0.014","-0.029","0.999","False","no object","(0, 0, 0)","0"
"21.75087","0.024","1.673","-3.522","-0.022","-0.059","0.998","0.089","1.671","-3.522","-0.014","-0.029","0.999","False","no object","(0, 0, 0)","0"
"21.76457","0.024","1.673","-3.522","-0.02","-0.058","0.998","0.089","1.671","-3.522","-0.014","-0.028","1","False","no object","(0, 0, 0)","0"
"21.77735","0.024","1.673","-3.522","-0.02","-0.058","0.998","0.089","1.671","-3.522","-0.015","-0.026","1","False","no object","(0, 0, 0)","0"
"21.79223","0.024","1.673","-3.522","-0.019","-0.058","0.998","0.089","1.671","-3.522","-0.015","-0.026","1","False","no object","(0, 0, 0)","0"
"21.80733","0.024","1.673","-3.521","-0.018","-0.057","0.998","0.089","1.671","-3.522","-0.015","-0.026","1","False","no object","(0, 0, 0)","0"
"21.8217","0.024","1.673","-3.521","-0.017","-0.057","0.998","0.089","1.671","-3.522","-0.014","-0.025","1","False","no object","(0, 0, 0)","0"
"21.83606","0.024","1.673","-3.522","-0.017","-0.056","0.998","0.089","1.671","-3.522","-0.014","-0.025","1","False","no object","(0, 0, 0)","0"
"21.85054","0.024","1.673","-3.522","-0.016","-0.055","0.998","0.089","1.671","-3.522","-0.014","-0.025","1","False","no object","(0, 0, 0)","0"
"21.86398","0.025","1.673","-3.522","-0.016","-0.055","0.998","0.089","1.671","-3.523","-0.015","-0.024","1","False","no object","(0, 0, 0)","0"
"21.87751","0.025","1.673","-3.522","-0.016","-0.054","0.998","0.09","1.671","-3.523","-0.015","-0.024","1","False","no object","(0, 0, 0)","0"
"21.89191","0.025","1.673","-3.523","-0.017","-0.053","0.998","0.09","1.671","-3.523","-0.016","-0.024","1","False","no object","(0, 0, 0)","0"
"21.90661","0.025","1.673","-3.523","-0.017","-0.053","0.998","0.09","1.671","-3.524","-0.017","-0.024","1","False","no object","(0, 0, 0)","0"
"21.92113","0.025","1.673","-3.523","-0.017","-0.052","0.998","0.09","1.671","-3.524","-0.019","-0.024","1","False","no object","(0, 0, 0)","0"
"21.93574","0.025","1.674","-3.523","-0.018","-0.052","0.998","0.09","1.671","-3.524","-0.019","-0.024","1","False","no object","(0, 0, 0)","0"
"21.94969","0.025","1.674","-3.523","-0.017","-0.051","0.999","0.09","1.671","-3.524","-0.02","-0.024","1","False","no object","(0, 0, 0)","0"
"21.96437","0.025","1.674","-3.524","-0.017","-0.051","0.999","0.09","1.671","-3.524","-0.02","-0.024","1","False","no object","(0, 0, 0)","0"
"21.97878","0.025","1.674","-3.524","-0.016","-0.051","0.999","0.09","1.672","-3.524","-0.02","-0.024","1","False","no object","(0, 0, 0)","0"
"21.99301","0.025","1.674","-3.524","-0.016","-0.051","0.999","0.09","1.672","-3.525","-0.02","-0.024","1","False","no object","(0, 0, 0)","0"
